"Year" "Month" "TMax" "TMin" "Prec" "PAR" "CO2"
1800 1 2.39524304904776 -7.99004024037526 54.2442942707403 238.249115366074 295.84
1801 1 2.39524304904776 -7.99004024037526 54.2442942707403 249.111429016234 295.84
1802 1 2.39524304904776 -7.99004024037526 54.2442942707403 247.398052851829 295.84
1803 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.544490206881 295.84
1804 1 2.39524304904776 -7.99004024037526 54.2442942707403 277.763837768261 295.84
1805 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.544490206881 295.84
1806 1 2.39524304904776 -7.99004024037526 54.2442942707403 251.416927043215 295.84
1807 1 2.39524304904776 -7.99004024037526 54.2442942707403 257.835158097107 295.84
1808 1 2.39524304904776 -7.99004024037526 54.2442942707403 215.751641244869 295.84
1809 1 2.39524304904776 -7.99004024037526 54.2442942707403 227.659069250381 295.84
1810 1 2.39524304904776 -7.99004024037526 54.2442942707403 262.667424345338 295.84
1811 1 2.39524304904776 -7.99004024037526 54.2442942707403 296.152298186475 295.84
1812 1 2.39524304904776 -7.99004024037526 54.2442942707403 296.013121925524 295.84
1813 1 2.39524304904776 -7.99004024037526 54.2442942707403 258.349257573666 295.84
1814 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.077285749501 295.84
1815 1 2.39524304904776 -7.99004024037526 54.2442942707403 296.013121925524 295.84
1816 1 2.39524304904776 -7.99004024037526 54.2442942707403 215.751641244869 295.84
1817 1 2.39524304904776 -7.99004024037526 54.2442942707403 266.907879672799 295.84
1818 1 2.39524304904776 -7.99004024037526 54.2442942707403 267.57826718809 295.84
1819 1 2.39524304904776 -7.99004024037526 54.2442942707403 257.835158097107 295.84
1820 1 2.39524304904776 -7.99004024037526 54.2442942707403 215.751641244869 295.84
1821 1 2.39524304904776 -7.99004024037526 54.2442942707403 272.280669714863 295.84
1822 1 2.39524304904776 -7.99004024037526 54.2442942707403 262.667424345338 295.84
1823 1 2.39524304904776 -7.99004024037526 54.2442942707403 277.763837768261 295.84
1824 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.544490206881 295.84
1825 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.544490206881 295.84
1826 1 2.39524304904776 -7.99004024037526 54.2442942707403 277.763837768261 295.84
1827 1 2.39524304904776 -7.99004024037526 54.2442942707403 258.015702742364 295.84
1828 1 2.39524304904776 -7.99004024037526 54.2442942707403 296.152298186475 295.84
1829 1 2.39524304904776 -7.99004024037526 54.2442942707403 234.897774290062 295.84
1830 1 2.39524304904776 -7.99004024037526 54.2442942707403 258.349257573666 295.84
1831 1 2.39524304904776 -7.99004024037526 54.2442942707403 262.713210572762 295.84
1832 1 2.39524304904776 -7.99004024037526 54.2442942707403 275.293489162791 295.84
1833 1 2.39524304904776 -7.99004024037526 54.2442942707403 296.152298186475 295.84
1834 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.077285749501 295.84
1835 1 2.39524304904776 -7.99004024037526 54.2442942707403 256.911212335463 295.84
1836 1 2.39524304904776 -7.99004024037526 54.2442942707403 272.280669714863 295.84
1837 1 2.39524304904776 -7.99004024037526 54.2442942707403 229.986467599988 295.84
1838 1 2.39524304904776 -7.99004024037526 54.2442942707403 238.249115366074 295.84
1839 1 2.39524304904776 -7.99004024037526 54.2442942707403 258.015702742364 295.84
1840 1 2.39524304904776 -7.99004024037526 54.2442942707403 238.249115366074 295.84
1841 1 2.39524304904776 -7.99004024037526 54.2442942707403 226.967834031327 295.84
1842 1 2.39524304904776 -7.99004024037526 54.2442942707403 247.398052851829 295.84
1843 1 2.39524304904776 -7.99004024037526 54.2442942707403 234.897774290062 295.84
1844 1 2.39524304904776 -7.99004024037526 54.2442942707403 238.249115366074 295.84
1845 1 2.39524304904776 -7.99004024037526 54.2442942707403 256.911212335463 295.84
1846 1 2.39524304904776 -7.99004024037526 54.2442942707403 226.967834031327 295.84
1847 1 2.39524304904776 -7.99004024037526 54.2442942707403 251.416927043215 295.84
1848 1 2.39524304904776 -7.99004024037526 54.2442942707403 277.763837768261 295.84
1849 1 2.39524304904776 -7.99004024037526 54.2442942707403 266.907879672799 295.84
1850 1 2.39524304904776 -7.99004024037526 54.2442942707403 296.152298186475 295.84
1851 1 2.39524304904776 -7.99004024037526 54.2442942707403 234.897774290062 295.84
1852 1 2.39524304904776 -7.99004024037526 54.2442942707403 275.293489162791 295.84
1853 1 2.39524304904776 -7.99004024037526 54.2442942707403 233.378578685396 295.84
1854 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.077285749501 295.84
1855 1 2.39524304904776 -7.99004024037526 54.2442942707403 251.913244785136 295.84
1856 1 2.39524304904776 -7.99004024037526 54.2442942707403 247.398052851829 295.84
1857 1 2.39524304904776 -7.99004024037526 54.2442942707403 238.249115366074 295.84
1858 1 2.39524304904776 -7.99004024037526 54.2442942707403 262.667424345338 295.84
1859 1 2.39524304904776 -7.99004024037526 54.2442942707403 250.216761156066 295.84
1860 1 2.39524304904776 -7.99004024037526 54.2442942707403 233.378578685396 295.84
1861 1 2.39524304904776 -7.99004024037526 54.2442942707403 296.152298186475 295.84
1862 1 2.39524304904776 -7.99004024037526 54.2442942707403 241.544490206881 295.84
1863 1 2.39524304904776 -7.99004024037526 54.2442942707403 229.986467599988 295.84
1864 1 2.39524304904776 -7.99004024037526 54.2442942707403 249.111429016234 295.84
1865 1 2.39524304904776 -7.99004024037526 54.2442942707403 227.659069250381 295.84
1866 1 2.39524304904776 -7.99004024037526 54.2442942707403 262.667424345338 295.84
